"id_rz_lectura","id_persona","razon_si_lectura"
669,1721,"Placer/entretenimiento"
670,1722,"Placer/entretenimiento"
671,1723,"Placer/entretenimiento"
672,1724,"Placer/entretenimiento"
673,1725,"Placer/entretenimiento"
674,1726,"Placer/entretenimiento"
675,1727,"Placer/entretenimiento"
676,1728,"Placer/entretenimiento"
677,1730,"Placer/entretenimiento"
678,1731,"Placer/entretenimiento"
679,1732,"Placer/entretenimiento"
680,1733,"Placer/entretenimiento"
681,1734,"Placer/entretenimiento"
682,1735,"Placer/entretenimiento"
683,1736,"Placer/entretenimiento"
684,1737,"Placer/entretenimiento"
685,1738,"Placer/entretenimiento"
686,1739,"Placer/entretenimiento"
687,1740,"Placer/entretenimiento"
688,1741,"Placer/entretenimiento"
689,1743,"Placer/entretenimiento"
690,1744,"Placer/entretenimiento"
691,1765,"Placer/entretenimiento"
692,1780,"Placer/entretenimiento"
693,1789,"Placer/entretenimiento"
694,1801,"Placer/entretenimiento"
695,1812,"Placer/entretenimiento"
696,1813,"Placer/entretenimiento"
697,1815,"Placer/entretenimiento"
698,1816,"Placer/entretenimiento"
699,1817,"Placer/entretenimiento"
700,1818,"Placer/entretenimiento"
701,1822,"Placer/entretenimiento"
702,1823,"Placer/entretenimiento"
703,1827,"Placer/entretenimiento"
704,1830,"Placer/entretenimiento"
705,1831,"Placer/entretenimiento"
706,1832,"Placer/entretenimiento"
707,1836,"Placer/entretenimiento"
708,1846,"Placer/entretenimiento"
709,1847,"Placer/entretenimiento"
710,1852,"Placer/entretenimiento"
711,1853,"Placer/entretenimiento"
712,1857,"Placer/entretenimiento"
713,1860,"Placer/entretenimiento"
714,1869,"Placer/entretenimiento"
715,1873,"Placer/entretenimiento"
716,1879,"Placer/entretenimiento"
717,1885,"Placer/entretenimiento"
718,1888,"Placer/entretenimiento"
719,1890,"Placer/entretenimiento"
720,1891,"Placer/entretenimiento"
721,1896,"Placer/entretenimiento"
722,1897,"Placer/entretenimiento"
723,1900,"Placer/entretenimiento"
724,1901,"Placer/entretenimiento"
725,1904,"Placer/entretenimiento"
726,1905,"Placer/entretenimiento"
727,1908,"Placer/entretenimiento"
728,1917,"Placer/entretenimiento"
729,1918,"Placer/entretenimiento"
730,1919,"Placer/entretenimiento"
731,1920,"Placer/entretenimiento"
732,1921,"Placer/entretenimiento"
733,1923,"Placer/entretenimiento"
734,1924,"Placer/entretenimiento"
735,1926,"Placer/entretenimiento"
736,1928,"Placer/entretenimiento"
737,1930,"Placer/entretenimiento"
738,1931,"Placer/entretenimiento"
739,1933,"Placer/entretenimiento"
740,1934,"Placer/entretenimiento"
741,1935,"Placer/entretenimiento"
742,1936,"Placer/entretenimiento"
743,1939,"Placer/entretenimiento"
744,1940,"Placer/entretenimiento"
745,1944,"Placer/entretenimiento"
746,1945,"Placer/entretenimiento"
747,1949,"Placer/entretenimiento"
748,1951,"Placer/entretenimiento"
749,1964,"Placer/entretenimiento"
750,1966,"Placer/entretenimiento"
751,1968,"Placer/entretenimiento"
752,1970,"Placer/entretenimiento"
753,1973,"Placer/entretenimiento"
754,1974,"Placer/entretenimiento"
755,1979,"Placer/entretenimiento"
756,1981,"Placer/entretenimiento"
757,1982,"Placer/entretenimiento"
758,1986,"Placer/entretenimiento"
759,1990,"Placer/entretenimiento"
760,1993,"Placer/entretenimiento"
761,2000,"Placer/entretenimiento"
762,2003,"Placer/entretenimiento"
763,2006,"Placer/entretenimiento"
764,2007,"Placer/entretenimiento"
